CustomerID,TotalSales,InvoiceNo,MediaTicket
12347.0,3516.98,7,502.42571428571426
12348.0,803.24,4,200.81
12349.0,1334.35,1,1334.35
12350.0,334.4,1,334.4
12352.0,1385.41,8,173.17625
12353.0,89.0,1,89.0
12354.0,1079.4,1,1079.4
12355.0,264.4,1,264.4
12356.0,1137.43,3,379.1433333333334
12357.0,2193.4700000000003,1,2193.4700000000003
12358.0,142.66,2,71.33
12359.0,4446.38,6,741.0633333333334
12360.0,1965.16,3,655.0533333333334
12361.0,189.9,1,189.9
12362.0,4854.68,13,373.4369230769231
12363.0,413.28000000000003,2,206.64000000000001
12364.0,1248.3,4,312.075
12365.0,320.69,1,320.69
12367.0,168.9,1,168.9
12370.0,2601.48,4,650.37
12371.0,1439.46,1,1439.46
12372.0,978.24,3,326.08
12373.0,364.6,1,364.6
12374.0,622.93,1,622.93
12375.0,393.02000000000004,3,131.0066666666667
12377.0,1349.82,2,674.91
12378.0,3878.78,1,3878.78
12379.0,774.09,3,258.03000000000003
12380.0,1914.22,5,382.844
12381.0,1415.96,6,235.99333333333334
12383.0,1641.61,6,273.60166666666663
12384.0,406.16,3,135.38666666666668
12386.0,187.5,1,187.5
12388.0,2063.86,6,343.9766666666667
12390.0,549.84,1,549.84
12391.0,439.66,1,439.66
12393.0,1441.0,4,360.25
12394.0,420.91999999999996,2,210.45999999999998
12395.0,2718.38,15,181.22533333333334
12397.0,2087.4,2,1043.7
12398.0,1359.46,1,1359.46
12399.0,1038.45,4,259.6125
12401.0,84.3,1,84.3
12402.0,225.6,1,225.6
12403.0,27.9,2,13.95
12405.0,1239.49,1,1239.49
12406.0,2201.15,3,733.7166666666667
12407.0,1388.58,5,277.716
12408.0,1790.65,9,198.9611111111111
12409.0,1161.97,7,165.99571428571429
12410.0,521.08,3,173.69333333333336
12412.0,1226.88,3,408.96000000000004
12413.0,748.15,4,187.0375
12414.0,423.21,3,141.07
12415.0,2756.58,13,212.04461538461538
12417.0,3375.6,12,281.3
12418.0,473.18,1,473.18
12420.0,600.39,1,600.39
12421.0,806.27,5,161.254
12422.0,683.5600000000001,3,227.85333333333335
12423.0,1849.11,9,205.45666666666665
12424.0,324.52,2,162.26
12425.0,586.4,1,586.4
12426.0,510.73,1,510.73
12427.0,511.17,4,127.7925
12428.0,5419.92,11,492.72
12429.0,1969.96,4,492.49
12430.0,256.4,1,256.4
12431.0,4417.41,15,294.49399999999997
12432.0,1815.02,4,453.755
12433.0,7667.18,7,1095.3114285714287
12434.0,765.19,4,191.2975
12435.0,78.0,1,78.0
12436.0,429.01000000000005,1,429.01000000000005
12437.0,4052.67,18,225.14833333333334
12438.0,1635.45,2,817.725
12441.0,173.55,1,173.55
12442.0,172.06,1,172.06
12444.0,3627.31,5,725.462
12445.0,133.4,1,133.4
12446.0,1002.3100000000001,1,1002.3100000000001
12447.0,476.49,1,476.49
12448.0,300.45,1,300.45
12449.0,3457.4900000000002,4,864.3725000000001
