CustomerID,TotalSales,InvoiceNo,MediaTicket
12747.0,1959.01,11,178.09181818181818
12748.0,24712.23,214,115.47771028037383
12749.0,3615.0,8,451.875
12820.0,942.34,4,235.585
12821.0,92.72,1,92.72
12822.0,816.98,3,272.32666666666665
12824.0,397.12,1,397.12
12826.0,1468.1200000000001,8,183.51500000000001
12827.0,430.15000000000003,3,143.38333333333335
12828.0,1018.71,6,169.785
12829.0,213.1,2,106.55
12830.0,622.08,3,207.36
12831.0,215.05,1,215.05
12832.0,383.03,2,191.515
12833.0,417.38,1,417.38
12834.0,312.38,1,312.38
12836.0,2466.71,4,616.6775
12837.0,134.1,1,134.1
12838.0,671.95,2,335.975
12839.0,5512.82,16,344.55125
12840.0,2478.27,6,413.045
12841.0,3613.56,26,138.9830769230769
12842.0,591.09,2,295.545
12843.0,1561.96,9,173.5511111111111
12844.0,325.96000000000004,2,162.98000000000002
12845.0,71.79,2,35.895
12847.0,843.64,1,843.64
12849.0,757.6899999999999,2,378.84499999999997
12851.0,131.81,1,131.81
12852.0,299.75,2,149.875
12853.0,1499.8,9,166.64444444444445
12854.0,1145.7,5,229.14000000000001
12855.0,38.1,1,38.1
12856.0,2153.53,8,269.19125
12857.0,1038.4,2,519.2
12863.0,32.8,2,16.4
12864.0,27.599999999999998,1,27.599999999999998
12867.0,3884.04,10,388.404
12868.0,1607.0600000000002,6,267.84333333333336
12870.0,-14.899999999999999,1,-14.899999999999999
12871.0,135.84,2,67.92
12872.0,599.97,2,299.985
12875.0,49.470000000000006,1,49.470000000000006
12877.0,1298.17,11,118.01545454545455
12878.0,841.64,3,280.5466666666667
12879.0,124.17,3,41.39
12881.0,103.0,1,103.0
12882.0,56.4,1,56.4
12883.0,703.47,4,175.8675
12884.0,139.05,1,139.05
12885.0,1158.27,4,289.5675
12886.0,1351.09,3,450.3633333333333
12888.0,-15.149999999999995,3,-5.049999999999998
12890.0,376.71999999999997,1,376.71999999999997
12891.0,42.0,1,42.0
12893.0,176.55,1,176.55
12895.0,347.3,3,115.76666666666667
12897.0,145.7,2,72.85
12901.0,1264.09,18,70.22722222222222
12902.0,138.68,1,138.68
12904.0,496.06,2,248.03
12906.0,1240.93,5,248.186
12909.0,1391.03,8,173.87875
12910.0,1518.82,8,189.8525
12912.0,441.9,4,110.475
12913.0,942.71,5,188.542
12915.0,363.65,2,181.825
12916.0,1994.95,5,398.99
12919.0,968.66,8,121.0825
12920.0,162.78,1,162.78
12921.0,14071.01,50,281.4202
12922.0,405.38,1,405.38
12923.0,172.82,1,172.82
12924.0,488.83,5,97.76599999999999
12925.0,694.05,2,347.025
12928.0,1733.9,5,346.78000000000003
12929.0,105.1,2,52.55
12930.0,409.9,4,102.475
12931.0,76.96,2,38.48
12933.0,606.28,4,151.57
12935.0,2156.45,8,269.55625
12936.0,761.3,3,253.76666666666665
12937.0,1279.8700000000001,4,319.96750000000003
12938.0,114.14,1,114.14
12940.0,862.44,4,215.61
12942.0,675.6,3,225.20000000000002
12943.0,-3.75,1,-3.75
12944.0,604.51,2,302.255
12945.0,462.95,1,462.95
12947.0,1288.49,10,128.849
12948.0,2053.7,8,256.7125
12949.0,4079.42,10,407.942
12950.0,284.2,2,142.1
12951.0,1042.07,8,130.25875
12952.0,1382.8400000000001,5,276.56800000000004
12953.0,329.85,1,329.85
12955.0,3847.8199999999997,14,274.8442857142857
12956.0,108.07,1,108.07
12957.0,3902.54,12,325.21166666666664
12962.0,266.39,2,133.195
12963.0,1841.03,9,204.55888888888887
12965.0,769.8100000000001,1,769.8100000000001
12966.0,160.18,1,160.18
12967.0,-42.599999999999994,3,-14.199999999999998
12968.0,74.75,1,74.75
12970.0,405.47,4,101.3675
12971.0,5387.02,82,65.69536585365854
12974.0,144.8,1,144.8
